HolderAddress,Balance
0x763d6667710287927f91f95fe61bfc0bcf01ef41,4474288.692
0x0835a32ffef69fca16a277cdcd31366584be412d,7397.756831
0x18957c395fa8ad309bc382767e5872ad6e54f8c6,5686754.205
0xab306aa992fe5ef6924b473eca3d9afa2a799c13,2300001.318
0xa8a3baf434821b64fad673f5c8b003c872659c63,5607583.945
0xabf40c9cd898ea34b0fde1477e117920bf4b8bf9,16363280.14
0xaffb382b9331efd7b70912da55601c772ca840f5,25794630.25
0xc399ca997b6f077a038b454efc6d91012db7cc09,8.571772831
0x2a69cab6ca190959fe86d4640a420aa8ea9a6731,0.019745279
0x7e7260e9987e803e91b3751697a2b765035d094d,88888.87193
0x6d4f4fc03f7838acefbea4bac53b3595597ed757,7.49E-06
0xa22cb72bc89baa5af480465c6d476ac136867885,13.77571614
0x4243ce3b8083b4a53774771ae47a4bac4358448b,91000.00733
0xa49a826f0a6e8a790f29f2bb4bf9e7d572752402,100.0001669
0x1062446f308f5bfc8ba1aca050166ab2a1d33901,375.5800102
0x6042c5c4dcd8eeb2a75e2be6f6c70c1fff181b9d,824983.0457
0x16f778a8acfd15b8d87b4679944bc8ce6310e1c5,83.95113751
0x9b99a3241e8a6e954c1b8c97b00457411e69acf3,31.08554675
0x44957c5799e3a0690c806fbc9765364a40f69894,27688.79618
0x64d3221d3bf6e24ff5b648d29f1862430a7bf6b3,7.931839823
0xf3231d48a81f677d0f7171e1fc808e1ed982832a,94000.04378
0x6be33bc04b0bfbbce652fb9c8fdfb2bdf86cf874,270126.1668
0xd74925ad1b301544f1c7b2ed4b77528e63edc5fd,0.7868896
0x816c8d6a41915ac50d78b881c93f40714aeae1de,3174.620333
0x9a04da41adb6c7e6434430953a467e794e086de2,166.8503834
0x6d16d01cc3a27567d230f2dc19be8a82e5d15ab6,1384.625462
0x40d7cdf0f56d6215d6b4755e3e9378d2b4fcb061,3829.848544
0x0b9885da33a8af8f6491698d17f74e4c28db04fc,61.20389573
0xffdb30a6e820f63f065622fe2ae105f9fe3f152b,0.868759261
0x70f8eb7d226bb9650944579f0c9cba0b92d3be04,35.1152331
0xf51123fdcf628b6e718a19f7458e16b9d3ef453f,28550.71841
0xd4d7588b4db8211441028d6cccd02db639676ac7,0.031214637
0x56cbc6d79bddc251386d9957d2c4ba10433807e7,636.862778
0xe8cf39d34f5080e88f298024be44096a5d9b05e9,61548.722
0xfab802e25ce366e4adf76c510c743e32ac6f2c2b,39.2985273
0xcb860bcb923cbce21f53c2b05d89524ca48ccbf2,3396.952513
0x42674161eb12bf4ccd3fd30d34af2691ec96a1a9,3.916761168
0x2cba53d72aa32d7034518559451a6d777e1f9607,7.76705137
0x39313b30d03f924dadda67b3f68edd843303002c,12176.35663
0xd93717577f757c156252fc5eabd5364a7e8aed0d,71.92760509
0x86e992a6d97b08c3681e3f37ed9bfc72aebb85bb,1.647941516
0x1f03047718440e0b3d52b00c923db5c33f0e02c0,754.0140645
0x39c324e1634b82a16a444bc5f0382c340ddfa0ab,45.4729009
0x3099e82bc4134a128801dca62f9563829dd32d7a,2291.829517
0xa7622a04fc19af518f15f9a04e1a7aba3cd0fba4,1184.708241
0x730903337b59130694d379b4d41bdc59816fcfdd,15.43389764
0x51950230e2dc42cb46095db4b2aa66965374df13,2.238911069
0x7ad1c5e6acc752f5486021ccc17d3f330953bf49,1952.238075
0x01b9f9378a9887fadf1d9b5fc08a2a793b3a4935,16.54406703
0x65093f1418afbd42889b6a250fa424418aad24bb,25.97039855
0x117cbf1f321c4744aa12341a4be5a8c298e3b169,171274.6162
0x836fcb4b664c92d7d644078ace5fccd582a57b6a,7.561178558
0x676d0e784715fd68139d5d7e29c7ea9d278b7cfa,595.4014107
0x1b5dbe1e8dbc1f60ae5f0f292bbf80fdc7556622,0.194954833
0xe904c2de0b0eb205ef51cd1ce33782b46378c7f9,3778263.642
0x8029c9022875252be621a1f1ae38ca16c7940b6f,489.744468
0x818bfcb1f79949f450aecb00bcae8b576fdea219,8877.443961
0x86620614e0a39b26b451dfadb8939ad7b9079cf7,25.21669707
0x1e18f67d43a8a5318e308b01c4ef35aeea4ddd1b,62.03497879
0x19e9f3c670374684630a31bdedcea8f39cb5e811,341.2449563
0x17eb2cfa4746957884e562e88ce6b5db8522c233,0.002867222
0x6776432ec482967afa7032edfada99e094328021,434503.3833
0x3ef1111fe9dbba86bcc739b596e90c525e7b73a3,8.143209557
0x939f2e44703b50a729b2419dbb9f2f58300e5494,279.6855957
0x53331e06a0d9c9a2358bac45d5695f79029d442b,19.21282196
0x80d8f1a8564e392801cce00921bbb0d4e41da884,10000.00442
0x28ed27ee5d1c7b2a0bce33954dc5898c3545bef9,23.67441192
0xb24dd0015804392668d08d239121de0cca0357b8,35843.79442
0x864375944bcf6a6bb02c0f75b20a0317b3fd633a,28.12969689
0x4e0cf04e9bd73231a619af7a378a1d9bfd0548a7,4.73619617
